000---005,5
006---009,8
010---098,5
100---129,5
130---179,4
180---194,5
195---196,4
197---199,5
200---212,4
214---215,4
216,5
217,4
218,5
219---223,4
224---225,5
226---227,4
228---238,5
239---243,4
244,5
245---268,4
270---274,4
275---279,5
280---282,4
283---285,5
286---289,4
290---292,5
293,4
294---295,5
296---297,4
298---299,5
300---303,4
304,5
305---307,4
308---310,5
311,4
312---329,5
330---334,6
335---338,5
339---341,6
342,5
344,5
346---347,5
349,6
350---352,4
354---359,4
360---361,5
362,4
363---369,5
370---386,4
387,5
388,4
389---398,5
399,4
400---406,3
407---409,4
410,3
411---418,4
420,3
421---422,4
423---424,3
425---426,4
427,3
430---438,3
439,4
440---459,3
460---462,2
463---464,1*
465---469,2
470---471,3
472---474,2
475---477,3
478---479,2
480---487,3
488---491,2
492,3
493---495,2
496---509,3
510---513,4
514,3
515---516,4
520---525,3
526---528,2
530---532,2*
534---535,2*
537---539,2*
540,4
541---548,3
549,2*
550---551,4
553---566,4
567,5
570---575,4
576---577,5
580---581,4
582---583,5
584,4
585---588,5
590---599,6
600---608,1*
609,2
610---611,1*
612---619,2
620,3
622---623,3
624,2
625---631,3
633---635,3
636---641,4
644---649,4
650---653,3
654---658,4
660---662,4
664---676,4
677,5
678,4
679,5
680---681,4
683---689,4
690---693,5
700---701,5
703---708,5
710---714,5
716---717,4
718,5
719---729,4
730---731,5
733---739,5
740---741,4
743---747,4
748,5
749,4
750---770,5
772---778,5
779---785,6
786---787,5
788,6
789---796,5
797---799,6
800---812,5
813---816,6
820,5
821,6
822---828,5
829---832,6
833,7
834,6
835---838,7
840---847,6
850---853,7
855---857,7
859---860,7
863---864,7
865,6
870---871,6
873---880,6
881---882,5
883---885,6
889---891,7
893---895,7
897---898,7
900---908,7
910---928,7
930---938,7
939---941,8
942,7
943---951,8
952---953,7
954---955,8
956---961,7
962---968,8
969,8
970---986,7
988---994,7
995---999,8
